PathInput,Hostname,NAME,DESCR,PID,VID,SN
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/24,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S5Y
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/25,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S5H
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/26,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S5E
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/27,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S5M
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/28,"1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM",GLC-ZX-SMD,"V02,",ACW25112S5N
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/29,1000BASE-T SFP transceiver module for Category 5 copper wire,GLC-TE,"V03,",MTC2519088N
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/30,1000BASE-T SFP transceiver module for Category 5 copper wire,GLC-TE,"V03,",MTC25190886
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/31,1000BASE-T SFP transceiver module for Category 5 copper wire,GLC-TE,"V03,",MTC25190888
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/32,"1000BASE-LX/LH SFP transceiver module, MMF/SMF, 1310nm, DOM",GLC-LH-SMD,"V02,",OPM25230SBS
AYA-2-DR_202.28.31.209_20230313-1430,RP/0/RSP0/CPU0:AYA-2-DR,GigabitEthernet0/0/0/33,"1000BASE-LX/LH SFP transceiver module, MMF/SMF, 1310nm, DOM",GLC-LH-SMD,"V02,",OPM25230SEB
